Compound.ID,Normalized1.SSf,Normalized2.SSF,Normalized3.SSF,Norm.Max.SSF,RT.AVE.SSF,SD.SSF,SE.SSF
1370392,148.4,184.4,174.6,184.4,169.1,15.2,8.781864079
2326277,167.0,165.8,169.2,169.2,167.3,1.4,0.799292853
1361777,191.2,160.6,149.6,191.2,167.1,17.6,10.17442407
2477057,183.0,158.2,151.4,183.0,164.2,13.6,7.830855891
2121179,203.6,157.6,129.4,203.6,163.5,30.6,17.64458437
2705843,169.8,147.5,170.6,170.6,162.7,10.7,6.170392212
1072879,189.1,145.2,153.2,189.1,162.5,19.1,11.01531431
2937212,158.1,162.9,152.5,162.9,157.9,4.2,2.452431684
1934167,147.6,155.8,169.5,169.5,157.6,9.0,5.212552406
2483420,152.1,144.2,174.5,174.5,156.9,12.9,7.427943493
2415708,135.6,167.3,164.5,167.3,155.8,14.3,8.275733596
1394551,176.8,163.6,126.9,176.8,155.8,21.1,12.18756213
830204,152.7,160.5,152.6,160.5,155.2,3.7,2.130746072
2370436,180.7,143.7,136.5,180.7,153.6,19.3,11.16610346
1689290,160.5,156.3,142.2,160.5,153.0,7.8,4.502877372
2483402,145.2,153.1,154.2,154.2,150.8,4.0,2.295639567
2675881,144.1,141.4,159.5,159.5,148.3,8.0,4.598860318
1933038,141.0,139.0,163.1,163.1,147.7,10.9,6.292596771
1979446,130.4,152.2,157.7,157.7,146.7,11.8,6.794924966
1713981,142.7,158.5,138.4,158.5,146.5,8.7,4.995159945
2708599,135.0,138.4,165.5,165.5,146.3,13.6,7.878244548
2335820,155.3,144.6,138.1,155.3,146.0,7.1,4.091309005
2432440,133.7,154.5,148.7,154.5,145.6,8.8,5.079799631
1981478,130.8,151.3,153.2,153.2,145.1,10.1,5.852081058
2131708,152.2,144.2,134.5,152.2,143.6,7.3,4.195864458
2581220,150.4,134.6,142.3,150.4,142.4,6.5,3.741057491
2934343,161.4,140.1,120.7,161.4,140.7,16.6,9.608054491
2097022,159.2,133.2,128.1,159.2,140.2,13.6,7.855986551
2544027,156.0,123.8,137.5,156.0,139.1,13.2,7.627171839
1638734,117.5,147.3,152.3,152.3,139.0,15.4,8.878774401
502593,141.8,144.2,130.9,144.2,139.0,5.8,3.33425352
1894981,81.2,161.6,172.8,172.8,138.5,40.8,23.57494106
1992723,136.7,137.1,140.0,140.0,137.9,1.5,0.860516322
1022311,141.3,131.8,139.5,141.3,137.6,4.1,2.381091564
2483422,139.4,136.5,136.5,139.4,137.5,1.4,0.789423967
1072868,133.3,137.6,140.2,140.2,137.0,2.8,1.628415459
2445846,117.2,147.2,143.8,147.2,136.1,13.4,7.754303929
830034,133.6,139.8,132.7,139.8,135.4,3.1,1.817419766
2314315,137.3,138.4,124.2,138.4,133.3,6.4,3.72089384
2509717,136.9,132.1,130.6,136.9,133.2,2.7,1.544958689
2068060,125.2,133.3,138.4,138.4,132.3,5.4,3.122541135
885092,128.7,131.4,133.3,133.3,131.1,1.9,1.077592472
46207,134.8,127.2,126.0,134.8,129.3,3.9,2.236059463
1896266,140.7,121.5,122.1,140.7,128.1,8.9,5.138816797
2319568,131.2,130.9,120.4,131.2,127.5,5.0,2.908999296
2121581,140.9,122.8,118.6,140.9,127.4,9.7,5.58514866
1989814,122.9,125.7,132.6,132.6,127.1,4.1,2.358518666
1138704,108.7,139.3,131.9,139.3,126.6,13.0,7.520164075
830028,107.6,134.8,135.6,135.6,126.0,13.0,7.51356121
3172312,123.6,142.7,110.5,142.7,125.6,13.2,7.634795534
1712986,141.7,141.0,90.7,141.7,124.4,23.9,13.79175945
1932821,123.9,118.7,126.9,126.9,123.2,3.4,1.969208983
2708301,113.0,122.0,133.2,133.2,122.7,8.3,4.780008957
2580903,120.3,116.0,131.0,131.0,122.5,6.3,3.639170494
2456926,122.0,122.9,118.0,122.9,121.0,2.1,1.222287058
2588121,109.9,128.5,121.4,128.5,119.9,7.7,4.436092084
2111529,119.1,109.1,131.3,131.3,119.8,9.1,5.252727069
2382439,115.7,128.3,113.3,128.3,119.1,6.6,3.792839077
830197,106.3,129.8,120.1,129.8,118.7,9.6,5.557044416
1941760,116.3,125.0,113.0,125.0,118.1,5.1,2.925218974
1980153,114.5,130.4,105.0,130.4,116.6,10.5,6.065814877
2564546,122.2,108.0,115.9,122.2,115.4,5.8,3.353314019
1896262,109.1,114.4,122.2,122.2,115.2,5.4,3.097450155
2542524,107.3,121.9,115.8,121.9,115.0,6.0,3.468750488
2513125,116.1,119.9,107.9,119.9,114.6,5.0,2.895073065
770145,126.3,104.9,107.8,126.3,113.0,9.5,5.474270087
2131713,86.4,124.4,124.9,124.9,111.9,18.0,10.40704911
2581292,117.0,106.8,109.2,117.0,111.0,4.4,2.525020342
2314301,114.6,105.6,107.2,114.6,109.1,3.9,2.257240413
2479706,113.1,99.4,110.1,113.1,107.5,5.9,3.383862215
1233291,91.1,109.8,120.3,120.3,107.1,12.1,6.966943735
1992006,110.4,96.6,113.2,113.2,106.7,7.3,4.196792426
2330740,97.6,108.1,110.1,110.1,105.3,5.5,3.170218038
1950546,98.0,118.5,99.1,118.5,105.2,9.4,5.444100442
2130765,111.8,101.4,101.5,111.8,104.9,4.9,2.809101679
1361373,89.6,103.7,120.1,120.1,104.5,12.4,7.177389453
830202,110.3,100.1,101.7,110.3,104.0,4.5,2.584948043
2717564,114.1,98.8,98.6,114.1,103.8,7.2,4.181200024
2718686,88.7,107.1,114.8,114.8,103.6,10.9,6.311699482
1021867,94.4,103.6,111.3,111.3,103.1,6.9,3.989089984
1896130,113.4,100.6,94.3,113.4,102.8,7.9,4.58155142
2716993,106.3,99.7,94.9,106.3,100.3,4.6,2.681486578
1895634,94.3,95.0,105.9,105.9,98.4,5.3,3.046993075
2129961,82.6,103.6,100.7,103.6,95.7,9.3,5.367977842
1985803,101.8,87.4,96.7,101.8,95.3,5.9,3.425975398
1940361,90.1,99.5,96.0,99.5,95.2,3.9,2.232999585
2490765,103.1,90.4,86.2,103.1,93.2,7.2,4.144663176
1896031,97.9,91.2,89.5,97.9,92.8,3.6,2.086062927
2658899,92.2,90.5,90.0,92.2,90.9,0.9,0.542330714
2393155,96.7,77.6,98.2,98.2,90.8,9.4,5.412178784
2130022,77.8,94.1,100.3,100.3,90.7,9.5,5.463705859
2028610,79.3,95.9,96.1,96.1,90.4,7.9,4.539281576
1072872,89.3,89.8,87.3,89.8,88.8,1.1,0.64325301
2917254,85.5,92.9,86.4,92.9,88.3,3.3,1.915036021
2414259,82.3,87.3,94.1,94.1,87.9,4.9,2.801303806
2009821,82.5,89.1,90.1,90.1,87.2,3.4,1.957869645
2670694,83.4,94.3,83.0,94.3,86.9,5.2,3.012456673
2564726,84.8,89.7,83.4,89.7,85.9,2.7,1.55802545
590876,74.7,96.0,84.1,96.0,84.9,8.7,5.040131463
215450,89.0,85.8,79.9,89.0,84.9,3.7,2.159026481
2028323,86.3,88.9,78.6,88.9,84.6,4.4,2.52386619
2912332,90.5,81.1,79.6,90.5,83.8,4.8,2.790213465
2500857,70.9,95.9,83.2,95.9,83.3,10.2,5.904534468
1154331,53.2,93.2,99.8,99.8,82.1,20.6,11.88357431
2482953,81.6,78.5,85.2,85.2,81.8,2.7,1.587662574
2553901,81.5,80.2,82.0,82.0,81.2,0.8,0.433557532
2537789,86.6,104.4,51.9,104.4,81.0,21.8,12.58506605
2388451,72.1,93.6,76.9,93.6,80.8,9.2,5.317228986
1140871,91.9,74.8,72.9,91.9,79.9,8.6,4.946131552
2483680,93.4,76.4,69.3,93.4,79.7,10.1,5.853130721
2130005,78.3,77.0,83.4,83.4,79.6,2.8,1.590478198
2373199,68.0,84.9,81.8,84.9,78.2,7.3,4.242330976
1898577,79.2,80.5,74.4,80.5,78.0,2.6,1.523270481
2929640,81.6,78.7,71.5,81.6,77.2,4.2,2.434936692
2370316,85.3,78.6,67.9,85.3,77.2,7.2,4.134731204
2352446,46.1,86.2,97.4,97.4,76.6,22.0,12.71503756
2500779,65.5,79.3,81.8,81.8,75.5,7.2,4.143995778
2409187,86.9,72.5,66.5,86.9,75.3,8.6,4.954181637
2500705,68.6,91.5,65.1,91.5,75.1,11.7,6.763307931
2098341,69.4,77.5,78.1,78.1,75.0,3.9,2.278953667
1933967,67.8,82.4,74.8,82.4,75.0,6.0,3.458640746
2395712,86.0,63.3,70.3,86.0,73.2,9.5,5.47520478
2911435,63.4,78.0,77.0,78.0,72.8,6.7,3.839966373
1233109,90.9,65.2,62.1,90.9,72.7,12.9,7.438192272
1896033,66.2,91.6,59.2,91.6,72.4,13.9,8.040795575
2403329,76.5,69.7,68.6,76.5,71.6,3.5,2.016628226
1914667,63.7,78.5,69.9,78.5,70.7,6.1,3.508546525
