Compound.ID,Normalized,Normalized,Normalized,Max.SSF
585828,-5.150753975,-6.303556442,-6.276843548,-5.150753975
2098287,-11.00502491,-12.81713772,-15.24726963,-11.00502491
1891623,-0.332914561,1.296555638,-6.737022877,1.296555638
2093929,13.1155777,13.54522514,8.46116066,13.54522514
2414266,40.52763748,25.09381104,32.36593628,40.52763748
2103863,0.835427165,-4.236908436,-6.117314816,0.835427165
2214659,-2.782663345,-5.569868565,-4.436127186,-2.782663345
2384900,12.73869324,6.2307477,14.85458374,14.85458374
2430483,2.90829134,6.818818092,7.080623627,7.080623627
2386075,0.402010053,5.121814728,3.564854622,5.121814728
2372368,3.618090391,12.63231564,2.601546288,12.63231564
2460704,-4.12688446,-0.366844028,-3.153761148,-0.366844028
2122030,-5.40829134,-5.009801388,-9.731255531,-5.009801388
1242630,-11.28140736,-6.74600935,-10.68842793,-6.74600935
680752,3.134422064,9.854382515,-1.693459272,9.854382515
2515849,-1.444723606,9.731167793,-2.82243228,9.731167793
1269299,-0.075376883,4.449733734,1.159651518,4.449733734
2289466,0.596733689,4.259311199,-0.024542889,4.259311199
1901594,25.99246216,26.54438591,27.01558495,27.01558495
2428576,-3.115577936,2.215065718,2.092281342,2.215065718
2392535,-1.827889442,-0.859703183,-4.282733917,-0.859703183
2095337,6.984924793,2.612713575,-1.675052166,6.984924793
2414282,12.09799004,5.183422089,5.651000023,12.09799004
2398441,763.9761353,602.192688,640.2626343,763.9761353
2214667,3.310301542,0.999719977,2.233402967,3.310301542
2384837,3.473618031,1.548585773,2.264081478,3.473618031
2339493,-4.78015089,-2.943153143,-5.09264946,-2.943153143
2429882,18.7562809,19.39792824,23.71456528,23.71456528
2372369,5.747487545,7.530103683,6.062093735,7.530103683
2092897,6.086683273,9.899188042,9.381519318,9.899188042
830030,-12.61306572,-9.977597237,-13.93422508,-9.977597237
24814,-8.115577698,-3.312797546,-7.062216282,-3.312797546
2392197,-6.909547806,-9.081489563,-13.17339516,-6.909547806
830210,4.396985054,6.2307477,2.865382195,6.2307477
2712145,88.95100403,81.14533997,61.03816605,88.95100403
2662600,-0.213567838,-0.036404368,-2.595410585,-0.036404368
2098056,-4.648241043,-6.437972546,0.564486444,0.564486444
1477672,-14.22738647,-13.6348362,-12.33893776,-12.33893776
1086869,31.25,12.09465122,16.81801414,31.25
1898574,62.29899597,41.19574356,41.71063995,62.29899597
2414267,4.773869514,-4.175301075,-2.834703684,4.773869514
2102681,27.44974899,14.97899723,23.97226715,27.44974899
2367031,10.07537651,5.989918709,4.405448437,10.07537651
2372852,9.37185955,4.83618021,2.349981546,9.37185955
624630,-1.344221115,-2.607112885,-1.036936998,-1.036936998
2581220,156.3881836,143.5536194,147.0793915,156.3881836
2372370,14.19598007,10.96331596,5.890293121,14.19598007
2092892,7.738693237,4.780173779,5.019020557,7.738693237
829911,7.757537842,3.928871393,2.552460432,7.757537842
1935010,26.40075302,34.40213013,25.85593414,34.40213013
1477511,5.917085648,8.459815025,7.276966572,8.459815025
207084,14.08919621,12.09465122,18.03902245,18.03902245
2709505,53.90075302,51.23774719,52.64449692,53.90075302
2339860,7.31155777,-2.332679987,-9.418334007,7.31155777
2098059,5.320351601,6.768412113,3.718247652,6.768412113
2098293,9.145729065,10.92971134,8.669775009,10.92971134
2373387,11.39447212,6.219546318,5.325806618,11.39447212
1899015,41.95351791,37.52730179,38.5814209,41.95351791
2414275,10.89196014,9.355922699,8.270953178,10.89196014
1225601,-4.309045315,-10.33043957,-10.90931416,-4.309045315
2213832,-3.881909609,-5.877905369,-5.994600773,-3.881909609
2380595,11.82788944,10.80649662,13.39428139,13.39428139
830207,-9.88693428,-8.53822422,-4.675420284,-4.675420284
2124966,17.27386856,19.05628586,22.68376541,22.68376541
2372339,10,10.62727547,10.36937046,10.62727547
2550161,-6.413316727,-9.41753006,-11.96465778,-6.413316727
80595,12.86432171,12.49790001,13.34519577,13.34519577
1935011,6.105527401,8.60543251,13.6826601,13.6826601
2100287,24.3530159,18.22738647,18.44398117,24.3530159
2396300,416.4007568,352.217865,375.6841431,416.4007568
2095990,16.55778885,18.02576256,7.062216282,18.02576256
1899514,18.34170914,18.18258286,10.35709858,18.34170914
2124964,253.3228607,189.4679413,178.9851532,253.3228607
830032,1.187185884,0.030803697,-0.908086896,1.187185884
2373388,12.46859264,16.46317482,10.19143486,16.46317482
2339844,20.07537651,16.56398773,19.26003265,20.07537651
2414261,65.46482086,5.334640026,8.71886158,65.46482086
2339499,3.699748755,-2.98795867,-0.760829568,3.699748755
2213833,20.77889442,15.40464878,12.08123684,20.77889442
2067408,26.33165741,19.49873924,13.25315952,26.33165741
1901814,-6.664572716,-8.415009499,-8.798625946,-6.664572716
1712925,16.18090439,18.31699753,9.203583717,18.31699753
2372363,12.08542728,11.65779877,11.52902222,12.08542728
2480029,15.23869324,14.5477457,16.58485794,16.58485794
2372798,17.48743629,21.12293434,15.00797653,21.12293434
1941769,14.9748745,23.08316994,14.09375381,23.08316994
2537789,3.680904627,8.482217789,0.110442996,8.482217789
2104240,-6.633165836,-6.768412113,-6.804515839,-6.633165836
2131644,4.629396915,1.59339118,-0.822186768,4.629396915
2395232,3.272613049,2.786334276,0.607436478,3.272613049
2092890,8.454773903,7.726127148,10.27733421,10.27733421
2339501,3.856783867,1.313357592,0.208614558,3.856783867
2373389,6.369346619,3.889666796,5.8289361,6.369346619
1988838,9.62311554,2.366283894,3.595533133,9.62311554
2414269,2.028894424,-2.640716791,-3.00650382,2.028894424
2339589,16.45728683,1.654998541,1.521659136,16.45728683
2490020,3.178391933,-9.882386208,-8.774083138,3.178391933
2029545,20.08165741,4.488938808,6.700208664,20.08165741
2103862,-0.747487426,-1.229347467,-4.270462513,-0.747487426
2121195,34.86180878,30.58246994,28.78267288,34.86180878
2435517,0.050251257,1.050125957,1.270094514,1.270094514
2480030,2.625628233,6.544385433,5.39943552,6.544385433
2372719,12.53140736,1.963035583,-0.987851262,12.53140736
2290377,-9.993718147,-8.415009499,-11.21609974,-8.415009499
2537774,4.616834164,3.872864723,2.730396271,4.616834164
2392578,-10.83542728,-11.98823833,-15.00797653,-10.83542728
2945240,-9.195980072,-11.10333252,-11.94625092,-9.195980072
2473533,7.807788849,8.190982819,-0.036814332,8.190982819
1988695,4.233668327,-0.327639312,0.558350742,4.233668327
1281786,2.129396915,-0.49005881,-2.859246492,2.129396915
2101290,31.41959763,25.16662025,24.00908089,31.41959763
2306797,444.9371948,344.9201965,314.6889038,444.9371948
2414277,14.49120617,9.826378822,6.141858101,14.49120617
2214652,8.768844604,1.59339118,3.196711302,8.768844604
2715534,-6.896985054,-11.01372147,-11.38176441,-6.896985054
2029925,21.73366928,13.42201042,15.1490984,21.73366928
830027,1024.641968,1002.427917,917.2904663,1024.641968
2121204,11.34422112,7.093251228,5.381028175,11.34422112
2373368,5.879396915,5.340240955,-2.515645981,5.879396915
2480031,6.513819218,6.488378525,6.442508221,6.513819218
1154001,6.966080189,5.357042789,11.76217937,11.76217937
1047858,11.61432171,8.667039871,7.72487402,11.61432171
2537791,17.70728683,15.06860828,10.84182072,17.70728683
2391130,-3.084170818,-10.45365429,-10.676157,-3.084170818
1549953,-1.520100474,-3.570428371,-7.467174053,-1.520100474
2405304,3.969849348,6.437972546,9.080868721,9.080868721
2121882,-8.574120522,-3.150377989,-3.368511438,-3.150377989
2093100,26.74623108,15.31503773,17.33955002,26.74623108
2101282,27.70100594,15.10221195,23.81273842,27.70100594
2119248,23.55527687,15.03500462,19.45023918,23.55527687
2414278,24.10175896,5.995519638,8.473432541,24.10175896
2214654,11.09296513,4.578549385,4.976070881,11.09296513
2489934,15.53391933,8.527023315,10.32642078,15.53391933
2510378,13.80025101,15.04060459,13.57221699,15.04060459
2067512,42.34924698,28.3253994,32.3536644,42.34924698
2549189,22.33668327,11.93783283,16.83642197,22.33668327
2373258,13.27889442,14.74936962,13.29611015,14.74936962
1149031,3.79396987,1.615793943,4.276598454,4.276598454
862848,18.7248745,11.76981258,15.25340557,18.7248745
1386767,9.346734047,2.786334276,0.8590011,9.346734047
2392636,12.86432171,2.965555906,1.147379994,12.86432171
2029301,366.3065186,248.8518677,254.3195496,366.3065186
2405725,8.498744011,3.676841259,-1.405080318,8.498744011
1984179,-1.708542705,-3.833660126,-7.387409687,-1.708542705
830560,12.39321613,5.368244171,1.221008658,12.39321613
1149032,26.2688446,19.65555954,16.71370697,26.2688446
2585102,17.97738647,5.665079594,6.362743855,17.97738647
2414247,10.27638149,4.959394932,3.288747072,10.27638149
2214655,8.209798813,4.79137516,5.031291962,8.209798813
2339689,17.97738647,11.08092976,3.172168255,17.97738647
2093243,88.05276489,62.37188339,66.97140503,88.05276489
2212803,13.75628185,8.751049995,7.534667015,13.75628185
1713405,12.31783962,14.45253468,5.565100193,14.45253468
2373251,4.038944721,4.315317631,1.87139523,4.315317631
2214653,19.73618126,17.89134789,14.44962597,19.73618126
1796410,7.324120522,10.05040646,6.626579762,10.05040646
1901604,54.05778885,38.10977173,39.74107361,54.05778885
2114195,14.0703516,9.540744781,6.632715702,14.0703516
1901599,223.4673309,206.3147583,187.605835,223.4673309
2405666,16.14949799,9.288714409,7.160387993,16.14949799
2414268,-1.859296441,4.572948933,-5.896429062,4.572948933
829910,4.447236061,-1.901428223,-3.116946936,4.447236061
830559,15.33291435,14.50854111,11.68855095,15.33291435
2068423,17.31783867,11.03612423,12.05669403,17.31783867
2414263,19.44095421,9.316718102,8.596146584,19.44095421
2214663,11.52638149,7.518902302,8.817032814,11.52638149
2339590,13.69346714,6.605992794,5.282856941,13.69346714
2098061,8.203517914,4.959394932,8.007117271,8.203517914
830206,-3.768844128,-3.189582825,-3.06786108,-3.06786108
2430678,24.20226097,16.53038406,17.93471527,24.20226097
2373331,21.08040237,19.29151535,18.67713737,21.08040237
2214649,334.4409485,313.5004272,324.3158569,334.4409485
1156303,23.80025101,14.80537701,18.32740211,23.80025101
2092896,27.72613144,24.68496132,19.72634697,27.72613144
2093242,18.51758766,13.54522514,8.859982491,18.51758766
2098066,-0.885678411,-3.688042641,-5.031291962,-0.885678411
1901596,72.24246216,50.34724045,51.54006577,72.24246216
2098282,-9.309044838,-10.56566811,-13.05681705,-9.309044838
1070439,-11.81532669,-14.59815216,-16.14922142,-11.81532669
2339592,30.18216133,17.67292023,21.11915588,30.18216133
2393155,182.8957214,134.4525299,146.2878876,182.8957214
2414256,12.29271317,2.125455141,3.491225958,12.29271317
2214648,58.36055374,36.6760025,40.25647354,58.36055374
2291639,-2.305276394,-8.398207664,-8.829303741,-2.305276394
2339686,28.02763748,15.78549385,20.91667747,28.02763748
678798,28.86934662,20.12041473,25.06442451,28.86934662
2430559,503.0276489,365.5530701,400.4601746,503.0276489
2373199,27.92713547,22.80313683,20.13130379,27.92713547
2214665,7.374372005,7.087650299,10.03804111,10.03804111
1156304,17.65703583,18.96107483,20.01472664,20.01472664
