Compound.ID,Normalized1.SSf,Normalized2.SSF,Normalized3.SSF,Max.SSF,RT.AVE.SSF,SD.SSF,SE.SSF
2114195,14.1,9.5,6.6,14.1,10.08,3.06,1.76690144
2212803,13.8,8.8,7.5,13.8,10.01,2.69,1.554449107
2585102,18.0,5.7,6.4,18.0,10.00,5.65,3.260195173
2033463,15.5,8.1,6.5,15.5,10.00,3.92,2.26548832
2098293,9.1,10.9,8.7,10.9,9.58,0.97,0.561625856
2414275,10.9,9.4,8.3,10.9,9.51,1.08,0.620819274
1935011,6.1,8.6,13.7,13.7,9.46,3.15,1.820060088
1047858,11.6,8.7,7.7,11.6,9.34,1.66,0.956497276
2214663,11.5,7.5,8.8,11.5,9.29,1.67,0.963896463
2357289,10.9,8.7,7.7,10.9,9.08,1.34,0.771546129
2092890,8.5,7.7,10.3,10.3,8.82,1.07,0.619477368
2357333,8.5,8.9,8.8,8.9,8.71,0.16,0.089671117
2339590,13.7,6.6,5.3,13.7,8.53,3.69,2.131955675
2092897,6.1,9.9,9.4,9.9,8.46,1.69,0.974852659
2583783,7.3,6.1,11.7,11.7,8.38,2.42,1.398779672
2459607,11.0,1.5,12.4,12.4,8.29,4.85,2.797581355
2538637,8.0,9.5,7.4,9.5,8.28,0.89,0.511873571
2098285,11.2,7.2,6.3,11.2,8.22,2.17,1.25111291
2214665,7.4,7.1,10.0,10.0,8.17,1.33,0.766960051
1154001,7.0,5.4,11.8,11.8,8.03,2.72,1.570767015
1796410,7.3,10.1,6.6,10.1,8.00,1.48,0.852920632
2121204,11.3,7.1,5.4,11.3,7.94,2.51,1.447374671
2373387,11.4,6.2,5.3,11.4,7.65,2.68,1.54449235
2414282,12.1,5.2,5.7,12.1,7.64,3.16,1.821614661
1086893,7.5,13.3,1.9,13.3,7.57,4.66,2.687666548
2579739,9.6,7.1,5.3,9.6,7.34,1.77,1.023858439
1477511,5.9,8.5,7.3,8.5,7.22,1.04,0.599811059
2382049,6.7,9.3,5.5,9.3,7.15,1.59,0.917995896
2372327,8.3,6.5,6.4,8.3,7.06,0.88,0.510387615
2098061,8.2,5.0,8.0,8.2,7.06,1.49,0.857462203
2214654,11.1,4.6,5.0,11.1,6.88,2.98,1.72145536
2385025,4.9,9.4,6.3,9.4,6.87,1.85,1.068816194
2367031,10.1,6.0,4.4,10.1,6.82,2.39,1.379071022
2385759,4.9,7.4,7.5,7.5,6.59,1.17,0.677044427
2339589,16.5,1.7,1.5,16.5,6.54,7.01,4.046939826
2405304,4.0,6.4,9.1,9.1,6.50,2.09,1.204913572
2480031,6.5,6.5,6.4,6.5,6.48,0.03,0.017036531
2372369,5.7,7.5,6.1,7.5,6.45,0.78,0.448526417
1149922,6.1,7.7,5.2,7.7,6.33,1.02,0.587045558
830560,12.4,5.4,1.2,12.4,6.33,4.61,2.662274253
830208,4.6,8.9,5.4,8.9,6.30,1.87,1.076935177
2372368,3.6,12.6,2.6,12.6,6.28,4.51,2.602747497
2372365,3.1,10.3,5.2,10.3,6.20,3.03,1.746944432
2414247,10.3,5.0,3.3,10.3,6.17,2.98,1.720125374
2214655,8.2,4.8,5.0,8.2,6.01,1.56,0.899507811
2414256,12.3,2.1,3.5,12.3,5.97,4.51,2.601314787
2092892,7.7,4.8,5.0,7.7,5.85,1.34,0.774752162
2384838,9.1,4.3,3.6,9.1,5.66,2.42,1.39700447
2392636,12.9,3.0,1.1,12.9,5.66,5.15,2.972578698
2373386,6.7,7.8,2.4,7.8,5.63,2.35,1.354247793
2430483,2.9,6.8,7.1,7.1,5.60,1.91,1.101667395
2372852,9.4,4.8,2.3,9.4,5.52,2.91,1.67840689
2373389,6.4,3.9,5.8,6.4,5.36,1.06,0.614685134
2473533,7.8,8.2,0.0,8.2,5.32,3.79,2.189040739
2098059,5.3,6.8,3.7,6.8,5.27,1.25,0.719236209
1988838,9.6,2.4,3.6,9.6,5.19,3.17,1.830850935
2033327,5.3,5.8,4.5,5.8,5.18,0.54,0.31368215
2372367,1.9,3.6,9.6,9.6,5.01,3.33,1.922328456
2480030,2.6,6.5,5.4,6.5,4.86,1.65,0.949884499
829911,7.8,3.9,2.6,7.8,4.75,2.20,1.271424176
2214652,8.8,1.6,3.2,8.8,4.52,3.08,1.775412699
2372719,12.5,2.0,-1.0,12.5,4.50,5.80,3.350890256
830210,4.4,6.2,2.9,6.2,4.50,1.38,0.794289287
1386767,9.3,2.8,0.9,9.3,4.33,3.63,2.097574162
2214657,3.3,6.0,3.4,6.0,4.24,1.21,0.701440766
680774,6.3,5.9,0.5,6.3,4.24,2.64,1.525283167
2537789,3.7,8.5,0.1,8.5,4.09,3.43,1.980342446
2214650,1.0,6.8,4.1,6.8,4.00,2.37,1.368117406
2666108,6.7,3.6,1.6,6.7,3.98,2.11,1.21571914
1101564,4.6,11.8,-4.7,11.8,3.88,6.79,3.920290583
2118887,9.6,1.0,0.8,9.6,3.80,4.09,2.35888661
680752,3.1,9.9,-1.7,9.9,3.77,4.74,2.734003689
2537774,4.6,3.9,2.7,4.6,3.74,0.78,0.447932395
2384865,2.7,4.2,3.9,4.2,3.60,0.67,0.385950344
2405725,8.5,3.7,-1.4,8.5,3.59,4.04,2.334621941
2029303,10.6,1.5,-1.4,10.6,3.57,5.10,2.945999726
2385027,4.5,5.4,0.3,5.4,3.42,2.22,1.279106272
2373251,4.0,4.3,1.9,4.3,3.41,1.09,0.630913784
1149031,3.8,1.6,4.3,4.3,3.23,1.16,0.668255367
2372364,1.1,5.6,2.4,5.6,3.03,1.87,1.079750961
2386075,0.4,5.1,3.6,5.1,3.03,1.96,1.133729779
2291557,1.6,3.4,3.8,3.8,2.94,0.96,0.552823984
2373368,5.9,5.3,-2.5,5.9,2.90,3.84,2.21511971
1981185,1.6,4.1,2.9,4.1,2.86,1.04,0.59899848
2095337,7.0,2.6,-1.7,7.0,2.64,3.54,2.041208492
2453444,0.3,4.9,2.6,4.9,2.60,1.84,1.065072429
2384837,3.5,1.5,2.3,3.5,2.43,0.79,0.458688225
2395232,3.3,2.8,0.6,3.3,2.22,1.16,0.669085302
2214667,3.3,1.0,2.2,3.3,2.18,0.94,0.545027061
1014129,6.9,1.6,-2.6,6.9,1.99,3.92,2.262225208
2384863,0.3,6.9,-1.7,6.9,1.86,3.69,2.127922981
1269299,-0.1,4.4,1.2,4.4,1.84,1.91,1.102632578
2515849,-1.4,9.7,-2.8,9.7,1.82,5.62,3.245461244
2131644,4.6,1.6,-0.8,4.6,1.80,2.23,1.287721391
2339501,3.9,1.3,0.2,3.9,1.79,1.53,0.881887994
2289466,0.6,4.3,0.0,4.3,1.61,1.89,1.091242317
1988695,4.2,-0.3,0.6,4.2,1.49,1.97,1.140150495
1992721,1.9,1.5,0.6,1.9,1.31,0.55,0.317071862
2380691,9.9,-3.2,-3.5,9.9,1.05,6.27,3.619246549
2414272,5.2,-0.1,-2.6,5.2,0.84,3.25,1.874219534
2435517,0.1,1.1,1.3,1.3,0.79,0.53,0.306482623
2384776,-1.2,1.6,1.3,1.6,0.59,1.27,0.731020633
2428576,-3.1,2.2,2.1,2.2,0.40,2.48,1.434400585
1292922,2.2,-1.6,-0.3,2.2,0.12,1.58,0.91471743
830032,1.2,0.0,-0.9,1.2,0.10,0.86,0.494746599
3172041,-5.0,1.1,4.1,4.1,0.08,3.77,2.179439285
2385023,-2.4,2.0,0.6,2.0,0.06,1.84,1.063256185
2339499,3.7,-3.0,-0.8,3.7,-0.02,2.78,1.605341704
829910,4.4,-1.9,-3.1,4.4,-0.19,3.32,1.914853136
2291749,-3.7,1.4,1.3,1.4,-0.35,2.39,1.377328726
1281786,2.1,-0.5,-2.9,2.1,-0.41,2.04,1.176327644
1941767,-3.0,2.1,-0.6,2.1,-0.51,2.07,1.196131639
2352154,-1.9,0.5,-0.4,0.5,-0.56,0.98,0.567408617
2414267,4.8,-4.2,-2.8,4.8,-0.75,3.94,2.275271589
830029,2.7,-1.4,-3.7,2.7,-0.79,2.64,1.526398457
2662600,-0.2,0.0,-2.6,0.0,-0.95,1.17,0.673659838
2414268,-1.9,4.6,-5.9,4.6,-1.06,4.31,2.489088007
2124967,-5.1,1.9,-0.2,1.9,-1.13,2.94,1.697618949
2414269,2.0,-2.6,-3.0,2.0,-1.21,2.29,1.323495715
206950,-4.9,4.3,-3.1,4.3,-1.26,4.01,2.317182718
2034237,0.8,-0.5,-4.4,0.8,-1.34,2.21,1.275366784
1985736,-7.4,-0.3,3.7,3.7,-1.35,4.56,2.632257029
2214658,-1.4,-0.2,-2.8,-0.2,-1.47,1.07,0.615343724
2339860,7.3,-2.3,-9.4,7.3,-1.48,6.86,3.958615048
1985370,-3.2,0.6,-1.9,0.6,-1.53,1.59,0.916212484
2094652,1.5,-2.0,-4.3,1.5,-1.60,2.40,1.384492386
624630,-1.3,-2.6,-1.0,-1.0,-1.66,0.68,0.392275955
1891623,-0.3,1.3,-6.7,1.3,-1.92,3.47,2.001907981
2103862,-0.7,-1.2,-4.3,-0.7,-2.08,1.56,0.900450983
2385024,-1.7,1.0,-5.9,1.0,-2.21,2.83,1.631840603
2392535,-1.8,-0.9,-4.3,-0.9,-2.32,1.44,0.83179381
2440400,0.3,-2.8,-4.7,0.3,-2.37,2.06,1.191464651
2414264,-0.4,-2.8,-4.0,-0.4,-2.40,1.49,0.861258394
2460704,-4.1,-0.4,-3.2,-0.4,-2.55,1.59,0.91997947
2382294,5.4,-7.7,-6.6,5.4,-2.98,5.96,3.440735689
2103863,0.8,-4.2,-6.1,0.8,-3.17,2.94,1.695365553
2291525,-4.9,-1.7,-3.0,-1.7,-3.20,1.34,0.771383561
2098066,-0.9,-3.7,-5.0,-0.9,-3.20,1.73,0.997100904
2924492,-2.8,-3.5,-3.4,-2.8,-3.24,0.32,0.186645299
830206,-3.8,-3.2,-3.1,-3.1,-3.34,0.31,0.176565702
2098056,-4.6,-6.4,0.6,0.6,-3.51,2.97,1.714967861
2290423,-5.7,-2.5,-2.8,-2.5,-3.68,1.46,0.843266502
605613,-2.7,-2.4,-6.3,-2.4,-3.80,1.75,1.00978326
1549953,-1.5,-3.6,-7.5,-1.5,-4.19,2.47,1.424080672
2214659,-2.8,-5.6,-4.4,-2.8,-4.26,1.14,0.660746635
2339493,-4.8,-2.9,-5.1,-2.9,-4.27,0.95,0.547470632
1984179,-1.7,-3.8,-7.4,-1.7,-4.31,2.34,1.352566699
830205,-7.0,-4.0,-3.1,-3.1,-4.69,1.66,0.958770624
2391750,-0.9,-5.0,-8.6,-0.9,-4.82,3.13,1.806604361
2291748,-6.0,-3.4,-5.7,-3.4,-5.02,1.17,0.672772723
2121882,-8.6,-3.2,-3.4,-3.2,-5.03,2.51,1.447385014
2490020,3.2,-9.9,-8.8,3.2,-5.16,5.91,3.413881909
2213832,-3.9,-5.9,-6.0,-3.9,-5.25,0.97,0.55979761
585828,-5.2,-6.3,-6.3,-5.2,-5.91,0.54,0.310181836
24814,-8.1,-3.3,-7.1,-3.3,-6.16,2.06,1.189995461
2291639,-2.3,-8.4,-8.8,-2.3,-6.51,2.98,1.719954652
2122030,-5.4,-5.0,-9.7,-5.0,-6.72,2.14,1.234368078
2104240,-6.6,-6.8,-6.8,-6.6,-6.74,0.07,0.04258145
2414257,-7.9,-5.0,-9.5,-5.0,-7.46,1.84,1.059506975
830207,-9.9,-8.5,-4.7,-4.7,-7.70,2.21,1.275120201
1901814,-6.7,-8.4,-8.8,-6.7,-7.96,0.93,0.536289505
2391130,-3.1,-10.5,-10.7,-3.1,-8.07,3.53,2.03667347
624628,-12.5,-5.2,-6.9,-5.2,-8.18,3.11,1.792929939
2098284,-9.3,-7.2,-8.6,-7.2,-8.39,0.88,0.505500334
2382295,-8.4,-8.3,-8.8,-8.3,-8.49,0.24,0.139477577
2291744,-6.5,-9.7,-9.3,-6.5,-8.51,1.42,0.817387244
1225601,-4.3,-10.3,-10.9,-4.3,-8.52,2.98,1.723001615
2550161,-6.4,-9.4,-12.0,-6.4,-9.27,2.27,1.309941261
2214656,-11.6,-3.5,-13.2,-3.5,-9.42,4.25,2.453105503
1242630,-11.3,-6.7,-10.7,-6.7,-9.57,2.01,1.162120092
2098283,-6.3,-5.1,-17.5,-5.1,-9.61,5.62,3.242352188
2392197,-6.9,-9.1,-13.2,-6.9,-9.72,2.60,1.49934314
2715534,-6.9,-11.0,-11.4,-6.9,-9.76,2.03,1.173728156
2373039,-3.3,-12.6,-13.5,-3.3,-9.81,4.61,2.659362097
2290377,-10.0,-8.4,-11.2,-8.4,-9.87,1.15,0.662001575
2945240,-9.2,-11.1,-11.9,-9.2,-10.75,1.15,0.664231511
2098412,-12.2,-11.4,-8.7,-8.7,-10.75,1.52,0.877435715
2098282,-9.3,-10.6,-13.1,-9.3,-10.98,1.56,0.899191442
2034098,-11.1,-11.7,-12.2,-11.1,-11.65,0.45,0.260039035
830030,-12.6,-10.0,-13.9,-10.0,-12.17,1.64,0.949581976
2339588,-10.6,-12.0,-14.3,-10.6,-12.30,1.53,0.883115177
2392578,-10.8,-12.0,-15.0,-10.8,-12.61,1.76,1.015763886
2214651,-14.3,-10.7,-12.9,-10.7,-12.63,1.45,0.839869592
2392729,-12.0,-12.6,-13.4,-12.0,-12.66,0.58,0.337110119
2101829,-16.8,-13.8,-8.0,-8.0,-12.87,3.65,2.106662242
2098287,-11.0,-12.8,-15.2,-11.0,-13.02,1.74,1.003437319
1477672,-14.2,-13.6,-12.3,-12.3,-13.40,0.79,0.455286119
2098065,-12.6,-14.2,-15.5,-12.6,-14.10,1.20,0.695106499
1070439,-11.8,-14.6,-16.1,-11.8,-14.19,1.79,1.035169998
2214666,-15.8,-15.7,-17.5,-15.7,-16.35,0.81,0.470382125
2104242,-15.0,-16.8,-18.0,-15.0,-16.59,1.23,0.712006851
2583792,-16.2,-17.1,-18.1,-16.2,-17.12,0.78,0.44819094
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
