Compound.ID,Mean%Activity(n=3).UHTS,SE.UHTS,Max.Activity.UHTS
2292714,111.50,3.21,268.70
1072872,45.85,17.19,27.99
1072879,77.18,3.49,67.46
501797,113.57,8.60,111.53
2373199,55.95,1.67,88.26
1868201,50.62,2.59,79.76
2656357,90.57,0.77,123.34
2482333,79.96,2.13,93.20
2130765,45.73,2.87,37.77
1936975,33.33,1.83,26.98
1712986,50.20,1.63,51.17
2462841,34.30,2.86,50.18
2425448,33.17,0.98,57.94
884170,33.16,1.07,99.51
1352531,87.64,1.94,136.47
1361261,33.25,1.59,61.19
2396300,157.93,9.31,196.71
1140871,54.50,3.40,28.73
1047465,84.38,16.68,516.49
2581292,35.36,1.37,21.61
2494646,176.66,1.32,212.03
1073644,70.48,1.97,144.13
1072862,172.17,8.01,194.47
1365813,75.89,1.41,46.09
2398441,299.69,11.53,587.59
1914949,131.16,2.64,456.35
2475148,57.74,2.52,204.26
1932896,90.01,3.04,370.10
2457591,74.14,1.77,239.01
1980467,81.86,6.21,139.06
1361373,71.94,4.52,61.71
2121184,82.46,1.45,174.57
2302557,52.46,4.25,110.28
41262,165.18,5.72,380.83
2388451,53.14,1.58,59.84
1940363,329.66,17.06,230.40
1934167,64.97,2.11,52.47
1932821,49.26,3.41,46.17
2483422,50.95,0.45,53.02
219103,100.27,4.89,83.68
2113333,34.39,0.78,73.27
2028323,40.08,1.42,46.27
1233291,55.30,1.17,108.82
2379402,69.34,2.50,60.47
2028610,37.28,2.91,70.67
2473689,41.91,2.47,30.62
2113334,60.20,1.10,76.37
2379718,63.34,2.25,118.43
2549632,174.57,12.48,225.83
2129961,39.95,1.55,44.52
2121581,49.13,1.77,40.83
2500767,58.75,1.69,62.70
2121179,69.44,3.11,163.80
2370436,48.01,0.77,103.02
1981478,77.90,1.48,77.65
2106966,41.19,1.13,63.52
2323814,38.71,2.63,47.60
2098341,35.42,0.30,54.34
2479706,34.68,1.08,40.31
1992723,35.56,0.73,65.69
1979725,42.14,3.78,48.50
222756,47.94,4.05,89.00
1980960,48.70,3.08,122.56
1914263,100.89,1.54,276.88
2669577,89.05,5.19,317.36
2291597,43.53,1.51,114.24
1094138,44.27,1.43,133.66
2033569,52.13,3.03,119.37
2066637,45.23,0.46,150.16
2034210,38.75,1.47,89.87
2932581,57.45,2.09,125.43
2663696,35.18,1.98,102.65
2288729,84.24,2.66,385.82
2008864,42.32,1.97,141.98
2382882,130.40,2.96,383.13
2436198,299.43,16.92,385.38
830027,744.81,1.45,1206.95
2583712,42.30,3.13,30.17
2917254,64.03,1.43,87.81
1021867,43.67,0.58,26.17
2912332,89.34,2.31,97.57
2119245,120.15,7.66,139.30
2214647,159.27,5.35,195.05
2675881,55.51,2.07,58.09
2214649,92.18,1.80,114.86
2415861,34.51,3.07,70.25
2509717,44.49,0.92,71.53
2911435,35.40,1.26,61.90
2564726,47.95,1.07,44.15
2068046,121.81,2.21,123.43
2671495,92.26,2.68,69.17
2717564,54.67,1.76,58.21
2708301,56.99,2.66,103.83
2547931,39.48,1.85,44.55
1898577,35.25,1.15,67.50
2544027,34.66,0.72,76.97
1941760,47.57,0.87,59.66
1980014,91.50,7.49,70.10
2537780,37.29,1.42,64.95
2670694,48.62,18.90,81.46
2678858,128.09,3.55,187.95
2718686,36.23,1.13,58.54
1894605,68.99,3.29,62.62
2713887,87.14,3.57,97.17
1901599,89.31,3.02,88.36
2414271,64.01,0.97,109.08
2937212,36.01,1.25,71.55
2537777,42.23,0.61,56.41
2540926,45.48,1.24,44.55
2708599,33.78,2.81,75.17
2675761,46.66,1.43,63.48
1989814,36.10,1.16,79.82
2564546,90.32,2.83,89.48
2124964,58.37,2.84,119.48
2097022,36.81,1.98,63.59
1895078,153.76,3.53,192.57
2538695,83.19,1.10,153.45
2909811,39.68,1.04,41.01
1980139,122.37,3.48,177.70
1950546,57.37,3.33,92.97
2124965,96.06,2.97,176.02
1154331,34.95,1.71,60.12
1933038,56.53,2.33,154.84
1934419,39.71,1.99,60.11
2547940,49.07,3.11,37.17
2352446,37.39,1.16,55.80
2131713,47.24,3.46,117.43
2131708,95.63,2.47,217.09
2029301,90.46,0.97,210.43
1126406,60.41,2.05,155.85
2542524,59.15,4.53,87.77
1022121,42.07,1.18,51.83
2537789,41.05,4.34,88.07
2414258,62.60,3.62,79.33
2390472,100.88,2.39,115.18
2029939,43.85,0.47,157.01
1980393,49.35,1.79,145.24
2551084,62.82,3.23,101.32
2032334,131.58,8.25,287.35
2352372,40.20,0.56,153.16
2537771,52.06,2.57,99.96
1896783,73.16,3.90,109.03
2008844,65.71,2.72,157.51
2335227,89.30,2.76,263.62
1980464,34.03,4.20,97.29
2067025,41.63,0.94,80.88
2652304,45.81,2.03,114.54
3353612,63.89,2.44,164.19
2544241,37.15,1.68,187.87
2713967,35.45,2.39,-10.12
1638734,80.95,8.04,131.12
2500705,49.88,4.77,64.71
824195,118.56,0.21,219.11
2449155,116.16,2.56,29.59
2588121,57.49,1.23,77.62
830034,55.79,0.92,95.05
770145,54.18,1.63,82.33
1989616,52.60,1.83,119.45
1363686,34.92,1.28,100.03
2468787,45.36,1.83,42.42
1641980,414.68,11.70,513.00
1689290,37.75,0.33,58.16
2319568,43.01,3.48,90.60
126469,42.74,4.68,211.93
2477057,92.16,3.87,127.58
2409563,101.10,2.21,147.84
2100065,50.40,3.18,109.60
2374961,42.55,0.66,149.98
2305340,1158.71,44.21,4855.26
3355538,63.20,2.79,54.24
